date,global_active_power_kwh,global_reactive_power_sum,voltage_mean,global_intensity_mean,sub_metering_1_wh,sub_metering_2_wh,sub_metering_3_wh,sub_metering_remainder_wh,sub_metering_1_kwh,sub_metering_2_kwh,sub_metering_3_kwh,sub_metering_remainder_kwh
2006-12-17,56.507666666666665,3.7667666666666664,240.0870277777778,9.999027777777778,2033.0,4187.0,13341.0,36946.666666666664,2.033,4.187,13.341,36.946666666666665
2006-12-18,36.73043333333333,2.6965333333333334,241.23169444444446,6.421666666666667,1063.0,2621.0,14018.0,19028.433333333334,1.063,2.621,14.018,19.028433333333336
2006-12-19,27.7699,2.5157000000000003,241.9993125,4.926388888888889,839.0,7602.0,6197.0,13131.9,0.839,7.602,6.197,13.1319
2006-12-20,37.09579999999999,2.6833,242.30806249999998,6.467361111111111,0.0,2648.0,14063.0,20384.8,0.0,2.648,14.063,20.3848
2006-12-21,28.618566666666666,2.4027666666666665,241.0419027777778,5.028194444444445,1765.0,2623.0,10421.0,13809.566666666668,1.765,2.623,10.421,13.809566666666667
2006-12-22,39.0223,3.1151,241.1845486111111,6.872916666666667,3151.0,350.0,11131.0,24390.3,3.151,0.35,11.131,24.3903
2006-12-23,79.55643333333335,3.691166666666667,240.1360763888889,14.028055555555557,2669.0,425.0,14726.0,61736.433333333334,2.669,0.425,14.726,61.73643333333334
2006-12-24,42.50019999999999,2.4983333333333335,241.6874375,7.640416666666667,1703.0,5082.0,6891.0,28824.2,1.703,5.082,6.891,28.8242
2006-12-25,45.718666666666664,4.004666666666667,243.39993055555558,7.951527777777779,6620.0,1962.0,5795.0,31341.666666666668,6.62,1.962,5.795,31.34166666666667
2006-12-26,65.5685,2.7516999999999996,241.6254375,11.347916666666666,1086.0,2533.0,14979.0,46970.5,1.086,2.533,14.979,46.9705
2006-12-27,25.47933333333333,2.9816999999999996,243.76736111111111,4.5175,0.0,314.0,6976.0,18189.333333333332,0.0,0.314,6.976,18.189333333333334
2006-12-28,34.54396666666666,3.481266666666667,243.26833333333335,6.086250000000001,2207.0,4419.0,9176.0,18741.966666666667,2.207,4.419,9.176,18.741966666666666
2006-12-29,52.90653333333333,3.273233333333333,240.87130555555555,9.271388888888888,1252.0,5162.0,11329.0,35163.53333333333,1.252,5.162,11.329,35.16353333333333
2006-12-30,46.705600000000004,5.212,240.53597222222223,8.318888888888889,3147.0,7938.0,12515.0,23105.6,3.147,7.938,12.515,23.1056
2006-12-31,58.2366,2.5142,239.8965763888889,10.199583333333333,0.0,347.0,6502.0,51387.6,0.0,0.347,6.502,51.3876
2007-01-01,45.81673333333333,2.4694333333333334,240.12897916666665,7.916944444444444,0.0,352.0,5880.0,39584.73333333333,0.0,0.352,5.88,39.58473333333333
2007-01-02,21.15393333333333,3.172366666666667,241.94377777777777,3.7140277777777775,0.0,348.0,6562.0,14243.933333333332,0.0,0.348,6.562,14.243933333333333
2007-01-03,16.9009,3.2788,243.5570902777778,3.0140277777777778,0.0,344.0,4765.0,11791.9,0.0,0.344,4.765,11.7919
