date,global_active_power_sum_kw,global_reactive_power_sum,voltage_mean,global_intensity_mean,sub_metering_1_wh,sub_metering_2_wh,sub_metering_3_wh,sub_metering_remainder_wh,sub_metering_1_mean_kw,sub_metering_2_mean_kw,sub_metering_3_mean_kw,sub_metering_remainder_mean_kw,year,day,dayofweek,dayofyear,is_weekend,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU,month_id,month_sin,month_cos,dow_sin,dow_cos
2006-12-17,3390.46,226.006,240.0870277777778,9.999027777777778,2033.0,4187.0,13341.0,36946.66666666666,0.0847083333333333,0.1744583333333333,0.555875,1.5394444444444444,2006,17,6,351,1,6.375,9.0,6.0,2.0,1.0,12,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
2006-12-18,2203.826,161.792,241.23169444444449,6.421666666666667,1063.0,2621.0,14018.0,19028.43333333333,0.0442916666666666,0.1092083333333333,0.5840833333333334,0.792851388888889,2006,18,0,352,0,6.375,9.0,6.0,2.0,1.0,12,-2.4492935982947064e-16,1.0,0.0,1.0
2006-12-19,1666.194,150.942,241.9993125,4.926388888888889,839.0,7602.0,6197.0,13131.9,0.0349583333333333,0.31675,0.2582083333333333,0.5471625,2006,19,1,353,0,6.375,9.0,6.0,2.0,1.0,12,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
2006-12-20,2225.748,160.998,242.3080625,6.467361111111111,0.0,2648.0,14063.0,20384.8,0.0,0.1103333333333333,0.5859583333333334,0.8493666666666666,2006,20,2,354,0,6.375,9.0,6.0,2.0,1.0,12,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
2006-12-21,1717.114,144.166,241.0419027777778,5.028194444444445,1765.0,2623.0,10421.0,13809.566666666668,0.0735416666666666,0.1092916666666666,0.4342083333333333,0.5753986111111111,2006,21,3,355,0,6.375,9.0,6.0,2.0,1.0,12,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
2006-12-22,2341.338,186.906,241.1845486111111,6.872916666666667,3151.0,350.0,11131.0,24390.3,0.1312916666666666,0.0145833333333333,0.4637916666666666,1.0162625,2006,22,4,356,0,6.375,9.0,6.0,2.0,1.0,12,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
2006-12-23,4773.386,221.47,240.1360763888889,14.028055555555556,2669.0,425.0,14726.0,61736.43333333333,0.1112083333333333,0.0177083333333333,0.6135833333333334,2.572351388888889,2006,23,5,357,1,6.375,9.0,6.0,2.0,1.0,12,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
2006-12-24,2550.012,149.9,241.6874375,7.640416666666667,1703.0,5082.0,6891.0,28824.2,0.0709583333333333,0.21175,0.287125,1.2010083333333337,2006,24,6,358,1,6.375,9.0,6.0,2.0,1.0,12,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
2006-12-25,2743.12,240.28,243.3999305555556,7.951527777777779,6620.0,1962.0,5795.0,31341.666666666668,0.2758333333333333,0.08175,0.2414583333333333,1.305902777777778,2006,25,0,359,0,6.375,9.0,6.0,2.0,1.0,12,-2.4492935982947064e-16,1.0,0.0,1.0
2006-12-26,3934.11,165.102,241.6254375,11.347916666666666,1086.0,2533.0,14979.0,46970.5,0.04525,0.1055416666666666,0.6241249999999999,1.9571041666666664,2006,26,1,360,0,6.375,9.0,6.0,2.0,1.0,12,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
2006-12-27,1528.76,178.902,243.76736111111111,4.5175,0.0,314.0,6976.0,18189.33333333333,0.0,0.0130833333333333,0.2906666666666667,0.757888888888889,2006,27,2,361,0,6.375,9.0,6.0,2.0,1.0,12,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
2006-12-28,2072.638,208.876,243.26833333333332,6.086250000000001,2207.0,4419.0,9176.0,18741.966666666667,0.0919583333333333,0.1841249999999999,0.3823333333333333,0.7809152777777778,2006,28,3,362,0,6.375,9.0,6.0,2.0,1.0,12,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
2006-12-29,3174.392,196.394,240.87130555555555,9.271388888888888,1252.0,5162.0,11329.0,35163.53333333333,0.0521666666666666,0.2150833333333333,0.4720416666666667,1.4651472222222222,2006,29,4,363,0,6.375,9.0,6.0,2.0,1.0,12,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
2006-12-30,2802.336,312.72,240.53597222222223,8.318888888888889,3147.0,7938.0,12515.0,23105.6,0.131125,0.33075,0.5214583333333334,0.9627333333333332,2006,30,5,364,1,6.375,9.0,6.0,2.0,1.0,12,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
2006-12-31,3494.196,150.852,239.8965763888889,10.199583333333331,0.0,347.0,6502.0,51387.6,0.0,0.0144583333333333,0.2709166666666666,2.14115,2006,31,6,365,1,6.375,9.0,6.0,2.0,1.0,12,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
2007-01-01,2749.004,148.166,240.12897916666665,7.916944444444444,0.0,352.0,5880.0,39584.73333333333,0.0,0.0146666666666666,0.245,1.6493638888888889,2007,1,0,1,0,2.836,10.0,1.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,1.0
2007-01-02,1269.236,190.342,241.94377777777777,3.7140277777777775,0.0,348.0,6562.0,14243.933333333332,0.0,0.0144999999999999,0.2734166666666667,0.5934972222222222,2007,2,1,2,0,2.836,10.0,1.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2007-01-03,1014.054,196.728,243.5570902777778,3.0140277777777778,0.0,344.0,4765.0,11791.9,0.0,0.0143333333333333,0.1985416666666666,0.4913291666666666,2007,3,2,3,0,2.836,10.0,1.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2007-01-04,3259.412,202.302,239.7502986111111,9.478194444444444,1051.0,7597.0,10896.0,34779.53333333333,0.0437916666666666,0.3165416666666666,0.454,1.449147222222222,2007,4,3,4,0,2.836,10.0,1.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
